"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.","للسماح بوصول الاستلام / التسليم، قم بتحديث ""الإفراط في الاستلام / بدل التسليم"" في إعدادات المخزون أو العنصر.",
To apply condition on parent field use parent.field_name and to apply condition on child table use doc.field_name. Here field_name could be based on the actual column name of the respective field.,لتطبيق شرط على الحقل الأصلي استخدم parent.field_name ولتطبيق شرط على الجدول الفرعي استخدم doc.field_name. هنا يمكن أن يستند field_name إلى اسم العمود الفعلي للحقل المعني.,
To be Delivered to Customer,ليتم تسليمها للعميل,
To cancel a {} you need to cancel the POS Closing Entry {}.,لإلغاء {} تحتاج إلى إلغاء قيد إغلاق نقاط البيع {}.,
To cancel this Sales Invoice you need to cancel the POS Closing Entry {}.,لإلغاء فاتورة المبيعات هذه، تحتاج إلى إلغاء قيد إغلاق نقاط البيع {}.,
To create a Payment Request reference document is required,لإنشاء مستند مرجع طلب الدفع مطلوب,
"To enable Capital Work in Progress Accounting,",لتمكين محاسبة العمل الرأسمالي تحت التنفيذ،,
To include non-stock items in the material request planning. i.e. Items for which 'Maintain Stock' checkbox is unticked.,لتضمين الأصناف غير المخزنية في تخطيط طلب المواد. أي الأصناف التي تم إلغاء تحديد مربع الاختيار 'الحفاظ على المخزون' لها.,
"To include sub-assembly costs and scrap items in Finished Goods on a work order without using a job card, when the 'Use Multi-Level BOM' option is enabled.",لتضمين تكاليف التجميع الفرعي وأصناف الخردة في المنتجات النهائية في أمر عمل دون استخدام بطاقة عمل، عند تمكين خيار 'استخدام قائمة مواد متعددة المستويات'.,
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",ل تشمل الضريبة في الصف {0} في معدل الإغلاق ، {1} ويجب أيضا تضمين الضرائب في الصفوف,
"To merge, following properties must be same for both items",لدمج، يجب أن يكون نفس الخصائص التالية ل كلا البندين,
"To overrule this, enable '{0}' in company {1}","لإلغاء هذا ، قم بتمكين ""{0}"" في الشركة {1}",
"To still proceed with editing this Attribute Value, enable {0} in Item Variant Settings.",للاستمرار في تعديل قيمة السمة هذه ، قم بتمكين {0} في إعدادات متغير العنصر.,
To submit the invoice without purchase order please set {0} as {1} in {2},لتقديم الفاتورة بدون أمر شراء، يرجى تعيين {0} كـ {1} في {2},
To submit the invoice without purchase receipt please set {0} as {1} in {2},لتقديم الفاتورة بدون إيصال شراء، يرجى تعيين {0} كـ {1} في {2},
"To use a different finance book, please uncheck 'Include Default FB Assets'",لاستخدام دفتر تمويل مختلف، يرجى إلغاء تحديد 'تضمين أصول دفتر التمويل الافتراضي',
"To use a different finance book, please uncheck 'Include Default FB Entries'",لاستخدام دفتر تمويل مختلف، يرجى إلغاء تحديد 'تضمين قيود دفتر التمويل الافتراضي',
Ton (Long)/Cubic Yard,طن (طويل)/ياردة مكعبة,
Ton (Short)/Cubic Yard,طن (قصير)/ياردة مكعبة,
Ton-Force (UK),طن-قوة (المملكة المتحدة),
Ton-Force (US),طن-قوة (الولايات المتحدة),
Tonne,طن,
Tonne-Force(Metric),طن-قوة (متري),
Too many columns. Export the report and print it using a spreadsheet application.,أعمدة كثيرة جدًا. قم بتصدير التقرير وطباعته باستخدام تطبيق جداول بيانات.,
Tools,الأدوات,
Torr,تور,
Total (Company Currency),الإجمالي (بعملة الشركة),
Total (Credit),الإجمالي (دائن),
Total (Without Tax),الإجمالي (بدون ضريبة),
Total Achieved,الإجمالي المحقق,
Total Active Items,إجمالي الأصناف النشطة,
Total Actual,الإجمالي الفعلي,
Total Additional Costs,مجموع التكاليف الإضافية,
Total Advance,إجمالي المقدمة,
Total Allocated Amount,إجمالي المبلغ المخصص,
Total Allocated Amount (Company Currency),إجمالي المبلغ المخصص (شركة العملات),
Total Allocations,إجمالي التخصيصات,
Total Amount,إجمالي المبلغ,
Total Amount Currency,عملة إجمالي المبلغ,
Total Amount Due,إجمالي المبلغ المستحق,
Total Amount in Words,إجمالي المبلغ بالنص,
Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges,مجموع الرسوم المطبقة في شراء طاولة إيصال عناصر يجب أن يكون نفس مجموع الضرائب والرسوم,
Total Asset,إجمالي الأصول,
Total Asset Cost,إجمالي تكلفة الأصل,
Total Assets,إجمالي الأصول,
Total Billable Amount,المبلغ الكلي القابل للمحاسبة,
Total Billable Amount (via Timesheet),إجمالي المبلغ القابل للفوترة (عبر الجداول الزمنية),
Total Billable Hours,مجموع الساعات فوترة,
Total Billed Amount,المبلغ الكلي وصفت,
Total Billed Amount (via Sales Invoice),إجمالي مبلغ الفاتورة (عبر فواتير المبيعات),
Total Billed Hours,مجموع الساعات وصفت,
Total Billing Amount,المبلغ الكلي الفواتير,
Total Billing Hours,إجمالي ساعات الفوترة,
Total Budget,الميزانية الإجمالية,
Total Characters,مجموع أحرف,
Total Commission,مجموع العمولة,
Total Completed Qty,إجمالي الكمية المكتملة,
Total Consumed Material Cost (via Stock Entry),إجمالي تكلفة المواد المستهلكة (عبر قيد المخزون),
Total Contribution Amount Against Invoices: {0},إجمالي مبلغ المساهمة مقابل الفواتير: {0},
Total Contribution Amount Against Orders: {0},إجمالي مبلغ المساهمة مقابل الطلبات: {0},
Total Cost,التكلفة الكلية لل,
Total Cost (Company Currency),التكلفة الإجمالية (عملة الشركة),
Total Costing Amount,المبلغ الكلي التكاليف,
Total Costing Amount (via Timesheet),إجمالي مبلغ التكلفة (عبر الجداول الزمنية),
Total Credit,إجمالي الدائن,
Total Credit/ Debit Amount should be same as linked Journal Entry,يجب أن يكون إجمالي مبلغ الائتمان / المدين هو نفسه المرتبطة بقيد اليومية,
Total Debit,إجمالي المدين,
Total Debit must be equal to Total Credit. The difference is {0},يجب أن يساوي إجمالي المدين إجمالي الدائن. الفرق هو {0},
Total Delivered Amount,إجمالي المبلغ الذي تم تسليمه,
Total Demand (Past Data),إجمالي الطلب (البيانات السابقة),
Total Equity,إجمالي حقوق الملكية,
Total Estimated Distance,مجموع المسافة المقدرة,
Total Expense,المصاريف الكلية,
Total Expense This Year,إجمالي النفقات هذا العام,
Total Expenses booked through,إجمالي المصاريف المسجلة من خلال,
Total Experience,مجموع الخبرة,
Total Forecast (Future Data),إجمالي التوقعات (البيانات المستقبلية),
Total Forecast (Past Data),إجمالي التوقعات (البيانات السابقة),
Total Gain/Loss,إجمالي الربح / الخسارة,
Total Hold Time,إجمالي وقت الانتظار,
Total Holidays,مجموع العطلات,
Total Income,إجمالي الدخل,
Total Income This Year,إجمالي الدخل هذا العام,
Total Incoming Value (Receipt),إجمالي القيمة الواردة (إيصال),
Total Interest,إجمالي الفائدة,
Total Invoiced Amount,إجمالي مبلغ الفاتورة,
Total Issues,إجمالي المشكلات,
Total Items,إجمالي الأصناف,
Total Landed Cost,إجمالي تكلفة الهبوط,
Total Landed Cost (Company Currency),إجمالي تكلفة الشحن (بعملة الشركة),
Total Liability,إجمالي الخصوم,
Total Message(s),مجموع الرسائل ( ق ),
Total Monthly Sales,إجمالي المبيعات الشهرية,
Total Net Weight,مجموع الوزن الصافي,
Total Number of Booked Depreciations ,إجمالي عدد الإهلاكات المسجلة ,
Total Number of Depreciations,إجمالي عدد التلفيات,
Total Only,الإجمالي فقط,
Total Operating Cost,إجمالي تكاليف التشغيل,
Total Operation Time,إجمالي وقت التشغيل,
Total Order Considered,اجمالي أمر البيع التقديري,
Total Order Value,مجموع قيمة الطلب,
Total Other Charges,إجمالي الرسوم الأخرى,
Total Outgoing,مجموع المنتهية ولايته,
Total Outgoing Value (Consumption),إجمالي القيمة الصادرة (استهلاك),
Total Outstanding,إجمالي المعلقة,
Total Outstanding Amount,إجمالي المبلغ المستحق,
Total Paid Amount,إجمالي المبلغ المدفوع,
Total Payment Amount in Payment Schedule must be equal to Grand / Rounded Total,يجب أن يكون إجمالي مبلغ الدفع في جدول الدفع مساويا للمجموع الكبير / المستدير,
Total Payment Request amount cannot be greater than {0} amount,لا يمكن أن يكون إجمالي مبلغ طلب الدفع أكبر من {0} المبلغ,
Total Payments,مجموع المدفوعات,
Total Picked Quantity {0} is more than ordered qty {1}. You can set the Over Picking Allowance in Stock Settings.,إجمالي الكمية المنتقاة {0} أكبر من الكمية المطلوبة {1}. يمكنك تعيين مخصص الانتقاء الزائد في إعدادات المخزون.,
Total Planned Qty,مجموع الكمية المخطط لها,
Total Produced Qty,إجمالي الكمية المنتجة,
Total Projected Qty,توقعات مجموع الكمية,
Total Purchase Amount,إجمالي مبلغ الشراء,
Total Purchase Cost (via Purchase Invoice),مجموع تكلفة الشراء (عن طريق شراء الفاتورة),
Total Qty,إجمالي الكمية,
Total Quantity,الكمية الإجمالية,
Total Received Amount,إجمالي المبلغ المستلم,
Total Repair Cost,إجمالي تكلفة الإصلاح,
Total Reposting Count,إجمالي عدد عمليات إعادة المعالجة,
Total Revenue,إجمالي الإيرادات,
Total Sales Amount,إجمالي مبلغ المبيعات,
Total Sales Amount (via Sales Order),إجمالي مبلغ المبيعات (عبر أمر المبيعات),
Total Stock Summary,ملخص إجمالي المخزون,
Total Stock Value,إجمالي قيمة المخزون,
Total Supplied Qty,إجمالي الكمية الموردة,
Total Target,إجمالي المستهدف,
Total Tasks,إجمالي المهام,
Total Tax,مجموع الضرائب,
Total Taxable Amount,إجمالي المبلغ الخاضع للضريبة,
Total Taxes and Charges,مجموع الضرائب والرسوم,
Total Taxes and Charges (Company Currency),مجموع الضرائب والرسوم (عملة الشركة),
Total Time (in Mins),إجمالي الوقت (بالدقائق),
Total Time in Mins,إجمالي الوقت بالدقائق,
Total Unpaid: {0},إجمالي غير المدفوع: {0},
Total Value,القيمة الإجمالية,
Total Value Difference (Incoming - Outgoing),إجمالي فرق القيمة (وارد - صادر),
Total Variance,مجموع الفروق,
Total Vendor Invoices Cost (Company Currency),إجمالي تكلفة فواتير الموردين (بعملة الشركة),
Total Views,إجمالي المشاهدات,
Total Warehouses,إجمالي المستودعات,
Total Weight,الوزن الكلي,
Total Weight (kg),الوزن الإجمالي (كجم),
Total Working Hours,مجموع ساعات العمل,
Total Workstation Time (In Hours),إجمالي وقت العمل على محطة العمل (بالساعات),
Total allocated percentage for sales team should be 100,مجموع النسبة المئوية المخصصة ل فريق المبيعات يجب أن يكون 100,
Total contribution percentage should be equal to 100,يجب أن تكون نسبة المساهمة الإجمالية مساوية 100,
Total distribution percent must equal 100 (currently {0}),يجب أن يساوي إجمالي نسبة التوزيع 100 (حاليًا {0}),
Total hours: {0},إجمالي الساعات: {0},
Total payments amount can't be greater than {},لا يمكن أن يكون إجمالي المدفوعات أكبر من {},
Total percentage against cost centers should be 100,يجب أن تكون النسبة المئوية الإجمالية مقابل مراكز التكلفة 100,
Total quantity in delivery schedule cannot be greater than the item quantity,لا يمكن أن يكون إجمالي الكمية في جدول التسليم أكبر من كمية الصنف,
Total {0} ({1}),إجمالي {0} ({1}),
"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'",إجمالي {0} لجميع العناصر هو صفر، قد يكون عليك تغيير 'توزيع الرسوم على أساس',
Total(Amt),إجمالي (AMT),
Total(Qty),إجمالي (الكمية),
Totals (Company Currency),المجاميع (بعملة الشركة),
Traceability,التتبع,
Tracebility Direction,اتجاه التتبع,
Track Semi Finished Goods,تتبع المنتجات نصف المصنعة,
Track Service Level Agreement,تتبع اتفاقية مستوى الخدمة,
Track separate Income and Expense for product verticals or divisions.,تتبع الإيرادات والمصروفات المنفصلة لقطاعات المنتجات أو الأقسام.,
Tracking Status,حالة التتبع,
Tracking Status Info,معلومات حالة التتبع,
Tracking URL,رابط التتبع,
Transaction,حركة,
Transaction Currency,عملية العملات,
Transaction Date,تاريخ المعاملة,
Transaction Deletion Document {0} has been triggered for company {1},تم تشغيل مستند حذف المعاملات {0} للشركة {1},
Transaction Deletion Record,سجل حذف المعاملات,
Transaction Deletion Record Details,تفاصيل سجل حذف المعاملات,
Transaction Deletion Record Item,صنف سجل حذف المعاملات,
Transaction Deletion Record To Delete,سجل حذف المعاملات المطلوب حذفه,
Transaction Deletion Record {0} is already running. {1},سجل حذف المعاملات {0} قيد التشغيل بالفعل. {1},
Transaction Details,تفاصيل الصفقه,
Transaction Exchange Rate,سعر صرف المعاملة,
Transaction ID,رقم المعاملات,
Transaction Information,معلومات المعاملة,
Transaction Name,اسم المعاملة,
Transaction Settings,إعدادات المعاملات,
Transaction Threshold,عتبة المعاملة,
Transaction Type,نوع المعاملة,
Transaction currency must be same as Payment Gateway currency,يجب أن تكون العملة المعاملة نفس العملة بوابة الدفع,
Transaction currency: {0} cannot be different from Bank Account({1}) currency: {2},عملة المعاملة: {0} لا يمكن أن تكون مختلفة عن عملة الحساب البنكي ({1}): {2},
Transaction date can't be earlier than previous movement date,لا يمكن أن يكون تاريخ المعاملة أقدم من تاريخ الحركة السابقة,
Transaction not allowed against stopped Work Order {0},المعاملة غير مسموح بها في مقابل أمر العمل المتوقف {0},
Transaction reference no {0} dated {1},إشارة عملية لا {0} بتاريخ {1},
Transactions,المعاملات,
Transactions Annual History,المعاملات السنوية التاريخ,
Transactions against the Company already exist! Chart of Accounts can only be imported for a Company with no transactions.,المعاملات مقابل الشركة موجودة بالفعل! لا يمكن استيراد شجرة الحسابات إلا لشركة ليس لديها معاملات.,
Transactions using Sales Invoice in POS are disabled.,تم تعطيل المعاملات التي تستخدم فاتورة المبيعات في نقاط البيع.,
Transfer,نقل,
Transfer Asset,تحويل الأصل,
Transfer Extra Raw Materials to WIP (%),تحويل المواد الخام الزائدة إلى المنتجات قيد التصنيع (%),
Transfer From Warehouses,تحويل من المستودعات,
Transfer Material Against,نقل المواد ضد,
Transfer Materials,تحويل المواد,
Transfer Materials For Warehouse {0},نقل المواد للمستودع {0},
Transfer Status,حالة نقل,
Transfer Type,نوع النقل,
Transfer and Issue,التحويل والإصدار,
Transferred,نقل,
Transferred Qty,نقل الكمية,
Transferred Quantity,الكمية المنقولة,
Transferred Raw Materials,المواد الخام المحولة,
Transit,عبور,
Transit Entry,قيد العبور,
Transport Receipt Date,تاريخ استلام النقل,
Transport Receipt No,إيصالات النقل,
Transportation,النقل,
Transporter,الناقل,
Transporter Details,تفاصيل نقل,
Transporter Info,نقل معلومات,
Transporter Name,نقل اسم,
Travel Expenses,نفقات السفر,
Tree Details,تفاصيل شجرة,
Tree Type,نوع الشجرة,
Tree of Procedures,شجرة الإجراءات,
Trial Balance,ميزان المراجعة,
Trial Balance (Simple),ميزان المراجعة (بسيط),
Trial Balance for Party,ميزان المراجعة للحزب,
Trial Period End Date,تاريخ انتهاء الفترة التجريبية,
Trial Period End Date Cannot be before Trial Period Start Date,لا يمكن أن يكون تاريخ انتهاء الفترة التجريبية قبل تاريخ بدء الفترة التجريبية,
Trial Period Start Date,فترة بداية الفترة التجريبية,
Trial Period Start date cannot be after Subscription Start Date,لا يمكن أن يكون تاريخ بدء الفترة التجريبية بعد تاريخ بدء الاشتراك,
Trialing,تجريبي,
Truncates 'Remarks' column to set character length,يقطع عمود 'الملاحظات' لتعيين طول الأحرف,
Turnover Ratios,معدلات دوران الموظفين,
Twice Daily,مرتين يوميا,
Two-way,في اتجاهين,
Type Of Call,نوع المكالمة,
Type of Material,نوع المادة,
Type of Payment,نوع الدفع,
Type of Transaction,نوع المعاملة,
Type of document to rename.,نوع الوثيقة إلى إعادة تسمية.,
Types of activities for Time Logs,أنواع الأنشطة لسجلات الوقت,
UAE VAT 201,ضريبة القيمة المضافة الإماراتية 201,
UAE VAT Account,حساب ضريبة القيمة المضافة في الإمارات,
UAE VAT Accounts,حسابات ضريبة القيمة المضافة في الإمارات,
UAE VAT Settings,إعدادات ضريبة القيمة المضافة في الإمارات,
UOM,وحدة القياس,
UOM Category,تصنيف وحدة القياس,
UOM Conversion Detail,تفاصيل تحويل وحدة القياس,
UOM Conversion Factor,عامل تحويل وحدة القياس,
UOM Conversion factor ({0} -> {1}) not found for item: {2},معامل تحويل UOM ({0} -> {1}) غير موجود للعنصر: {2},
UOM Conversion factor is required in row {0},معامل تحويل وحدة القياس مطلوب في الصف: {0},
UOM Name,اسم وحدة القايس,
UOM conversion factor required for UOM: {0} in Item: {1},عامل تحويل وحدة القياس مطلوب لوحدة القياس: {0} في الصنف: {1},
UOM {0} not found in Item {1},لم يتم العثور على وحدة القياس {0} في الصنف {1},
UOMs,وحدات القياس,
UPC,UPC,
UPC-A,UPC-A,
URL can only be a string,يمكن أن يكون عنوان URL عبارة عن سلسلة فقط,
UTM Analytics,تحليلات UTM,
UnBuffered Cursor,مؤشر غير مخزن مؤقتًا,
UnReconcile,إلغاء التسوية,
UnReconcile Allocations,إلغاء تسوية التخصيصات,
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,تعذر العثور على سعر الصرف من {0} إلى {1} لتاريخ المفتاح {2}. يرجى إنشاء سجل صرف العملات يدويا,
Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually.,تعذر العثور على سعر الصرف من {0} إلى {1} لتاريخ المفتاح {2}. يرجى إنشاء سجل صرف العملات يدويا.,
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,تعذر العثور على النتيجة بدءا من {0}. يجب أن يكون لديك درجات دائمة تغطي 0 إلى 100,
Unable to find the time slot in the next {0} days for the operation {1}. Please increase the 'Capacity Planning For (Days)' in the {2}.,تعذر العثور على فترة زمنية في الأيام {0} القادمة للعملية {1}. يرجى زيادة 'تخطيط السعة لـ (أيام)' في {2}.,
Unable to find variable:,تعذر العثور على المتغير:,
Unallocated Amount,المبلغ غير المخصصة,
Unassigned Qty,الكمية غير المخصصة,
Unbilled Orders,الطلبات غير المفوترة,
Unblock Invoice,الافراج عن الفاتورة,
Unclosed Fiscal Years Profit / Loss (Credit),غير مغلقة سنتين الماليتين الربح / الخسارة (الائتمان),
Under AMC,تحت AMC,
Under Graduate,غير متخرج,
Under Warranty,تحت الضمان,
Under Withheld Reason,تحت سبب محجوب,
"Under Working Hours table, you can add start and end times for a Workstation. For example, a Workstation may be active from 9 am to 1 pm, then 2 pm to 5 pm. You can also specify the working hours based on shifts. While scheduling a Work Order, the system will check for the availability of the Workstation based on the working hours specified.",ضمن جدول ساعات العمل، يمكنك إضافة أوقات بدء وانتهاء لمحطة عمل. على سبيل المثال، قد تكون محطة العمل نشطة من الساعة 9 صباحًا إلى 1 ظهرًا، ثم من 2 ظهرًا إلى 5 مساءً. يمكنك أيضًا تحديد ساعات العمل بناءً على الورديات. أثناء جدولة أمر عمل، سيتحقق النظام من توفر محطة العمل بناءً على ساعات العمل المحددة.,
Unexpected Naming Series Pattern,نمط تسلسل تسمية غير متوقع,
Unfulfilled,لم تتحقق,
Unit,وحدة,
Unit Price,سعر الوحدة,
Unit of Measure,وحدة القياس,
Unit of Measure (UOM),وحدة القياس,
Unit of Measure {0} has been entered more than once in Conversion Factor Table,وحدة القياس {0} تم إدخال أكثر من مرة واحدة في معامل التحويل الجدول,
Units of Measure,وحدات القياس,
Unknown Caller,غير معروف المتصل,
Unlink Advance Payment on Cancellation of Order,إلغاء ربط الدفع المسبق عند إلغاء الطلب,
Unlink Payment on Cancellation of Invoice,إلغاء ربط الدفع على إلغاء الفاتورة,
Unlink external integrations,إلغاء ربط التكامل الخارجي,
Unlinked,غير مرتبط,
Unpaid,غير مدفوع,
Unpaid and Discounted,غير مدفوعة ومخصومة,
Unplanned machine maintenance,صيانة الآلة غير المخطط لها,
Unqualified,غير مؤهل,
Unrealized Exchange Gain/Loss Account,غير مجرب تبادل الربح / الخسارة حساب,
Unrealized Profit / Loss Account,حساب الربح / الخسارة غير المحقق,
Unrealized Profit / Loss account for intra-company transfers,حساب الربح / الخسارة غير المحقق للتحويلات بين الشركات,
Unrealized Profit/Loss account for intra-company transfers,حساب الربح/الخسارة غير المحقق للتحويلات بين الشركات,
Unreconcile Payment,إلغاء تسوية الدفع,
Unreconcile Payment Entries,إلغاء تسوية قيود الدفع,
Unreconcile Transaction,إلغاء تسوية المعاملة,
Unreconciled,لم تتم تسويتها,
Unreconciled Amount,المبلغ غير المسوى,
Unreconciled Entries,القيود غير المسواة,
Unreserve,إلغاء الحجز,
Unreserve Stock,إلغاء حجز المخزون,
Unreserve for Raw Materials,إلغاء حجز المواد الخام,
Unreserve for Sub-assembly,إلغاء حجز التجميع الفرعي,
Unreserving Stock...,جاري إلغاء حجز المخزون...,
Unresolved,لم تحل,
Unscheduled,غير المجدولة,
Unsecured Loans,القروض غير المضمونة,
Unset Matched Payment Request,إلغاء تعيين طلب الدفع المطابق,
Unsigned,غير موقعة,
Unsubscribe from this Email Digest,إلغاء الاشتراك من هذا البريد الإلكتروني دايجست,
Until,حتى,
Unverified,غير مثبت عليه,
Unverified Webhook Data,بيانات Webhook لم يتم التحقق منها,
Up,أعلى,
Upcoming Calendar Events,أحداث التقويم القادمة,
Upcoming Calendar Events ,أحداث التقويم القادمة ,
Update Account Name / Number,تحديث اسم / رقم الحساب,
Update Account Number / Name,تحديث رقم الحساب / الاسم,
Update Additional Information,تحديث معلومات إضافية,
Update Auto Repeat Reference,تحديث السيارات تكرار المرجع,
Update BOM Cost Automatically,تحديث بوم التكلفة تلقائيا,
"Update BOM cost automatically via scheduler, based on the latest Valuation Rate/Price List Rate/Last Purchase Rate of raw materials",قم بتحديث تكلفة قائمة المواد تلقائيًا عبر المجدول، استنادًا إلى أحدث معدل تقييم / سعر قائمة الأسعار / آخر سعر شراء للمواد الخام,
Update Batch Qty,تحديث كمية الدفعة,
Update Billed Amount in Delivery Note,تحديث المبلغ المفوتر في إشعار التسليم,
Update Billed Amount in Purchase Order,تحديث المبلغ المفوتر في أمر الشراء,
Update Billed Amount in Purchase Receipt,تحديث المبلغ المفوتر في إيصال الشراء,
Update Billed Amount in Sales Order,تحديث مبلغ فاتورة في أمر المبيعات,
Update Clearance Date,تحديث تاريخ التخليص,
Update Consumed Material Cost In Project,تحديث تكلفة المواد المستهلكة في المشروع,
Update Cost,تحديث التكلفة,
Update Cost Center Name / Number,تحديث اسم / رقم مركز التكلفة,
Update Costing and Billing,تحديث التكاليف والفواتير,
Update Current Stock,تحديث المخزون الحالي,
Update Existing Price List Rate,تحديث سعر قائمة الأسعار الحالية,
Update Items,تحديث العناصر,
Update Outstanding for Self,تحديث الرصيد المستحق للذات,
Update Price List Based On,تحديث قائمة الأسعار بناءً على,
Update Print Format,تحديث تنسيق الطباعة,
Update Rate and Availability,معدل التحديث والتوفر,
Update Rate as per Last Purchase,تحديث السعر حسب آخر عملية شراء,
Update Stock,تحديث المخزون,
Update Type,نوع التحديث,
Update frequency of Project,تكرار تحديث المشروع,
Update latest price in all BOMs,تحديث آخر الأسعار في جميع بومس,
Update stock must be enabled for the purchase invoice {0},يجب تمكين تحديث المخزون لفاتورة الشراء {0},
Update the modified timestamp on new communications received in Lead & Opportunity.,تحديث الطابع الزمني المعدل على الاتصالات الجديدة المستلمة في العميل المحتمل والفرصة.,
Update timestamp on new communication,تحديث الطابع الزمني على الاتصال الجديد,
Updated via 'Time Log' (In Minutes),تم التحديث عبر 'سجل الوقت' (بالدقائق),
Updating Costing and Billing fields against this Project...,تحديث حقول التكاليف والفواتير لهذا المشروع...,
Updating Variants...,جارٍ تحديث المتغيرات...,
Updating Work Order status,جاري تحديث حالة أمر العمل,
Updating details.,جارٍ تحديث التفاصيل.,
Upload Bank Statement,تحميل كشف حساب بنكي,
Upload XML Invoices,تحميل فواتير XML,
"Upon submission of the Sales Order, Work Order, or Production Plan, the system will automatically reserve the stock.",عند تقديم أمر المبيعات أو أمر العمل أو خطة الإنتاج، سيقوم النظام تلقائيًا بحجز المخزون.,
Upper Income,أعلى دخل,
Urgent,عاجل,
Use 'Repost in background' button to trigger background job. Job can only be triggered when document is in Queued or Failed status.,استخدم زر 'إعادة المعالجة في الخلفية' لتشغيل مهمة خلفية. لا يمكن تشغيل المهمة إلا عندما يكون المستند في حالة الانتظار أو الفشل.,
Use Batch-wise Valuation,استخدام تقييم الدفعات,
Use Company Default Round Off Cost Center,استخدام مركز تكلفة التقريب الافتراضي للشركة,
Use Company default Cost Center for Round off,استخدام مركز تكلفة الشركة الافتراضي للتقريب,
Use Default Warehouse,استخدام المستودع الافتراضي,
Use Google Maps Direction API to calculate estimated arrival times,استخدم واجهة برمجة تطبيقات Google Maps Direction لحساب أوقات الوصول المقدرة,
Use Google Maps Direction API to optimize route,استخدم Google Maps Direction API لتحسين المسار,
Use HTTP Protocol,استخدام بروتوكول HTTP,
Use Item based reposting,استخدام إعادة المعالجة القائمة على الصنف,
Use Legacy (Client side) Reactivity,استخدام التفاعلية القديمة (من جانب العميل),
Use Multi-Level BOM,استخدام متعدد المستويات BOM,
Use Serial / Batch Fields,استخدام حقول الرقم التسلسلي / الدفعة,
Use Serial No / Batch Fields,استخدام حقول الرقم التسلسلي / الدفعة,
Use Transaction Date Exchange Rate,استخدام سعر صرف تاريخ المعاملة,
Use a name that is different from previous project name,استخدم اسمًا مختلفًا عن اسم المشروع السابق,
Use for Shopping Cart,استخدم لسلة التسوق,
Used,مستخدم,
Used for Production Plan,تستخدم لخطة الإنتاج,
Used with Financial Report Template,يُستخدم مع نموذج التقرير المالي,
User Forum,منتدى المستخدمين,
User ID not set for Employee {0},هوية المستخدم لم يتم تعيين موظف ل {0},
User Remark,ملاحظة المستخدم,
User Resolution Time,وقت قرار المستخدم,
User has not applied rule on the invoice {0},لم يطبق المستخدم قاعدة على الفاتورة {0},
User {0} does not exist,المستخدم {0} غير موجود,
User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,المستخدم {0} ليس لديه أي ملف تعريف افتراضي ل بوس. تحقق من الافتراضي في الصف {1} لهذا المستخدم.,
User {0} is already assigned to Employee {1},المستخدم {0} تم تعيينه بالفعل إلى موظف {1},
User {0}: Removed Employee Self Service role as there is no mapped employee.,المستخدم {0}: تم إزالة دور خدمة الموظف الذاتية لعدم وجود موظف مرتبط.,
User {0}: Removed Employee role as there is no mapped employee.,المستخدم {0}: تم إزالة دور الموظف لعدم وجود موظف مرتبط.,
User {} is disabled. Please select valid user/cashier,المستخدم {} معطل. الرجاء تحديد مستخدم / أمين صندوق صالح,
Users can enable the checkbox If they want to adjust the incoming rate (set using purchase receipt) based on the purchase invoice rate.,يمكن للمستخدمين تمكين مربع الاختيار إذا كانوا يرغبون في تعديل السعر الوارد (المعين باستخدام إيصال الشراء) بناءً على سعر فاتورة الشراء.,
Users with this role are allowed to over bill above the allowance percentage,يُسمح للمستخدمين الذين لديهم هذا الدور بفوترة أكثر من النسبة المسموح بها,
Users with this role are allowed to over deliver/receive against orders above the allowance percentage,يُسمح للمستخدمين الذين لديهم هذا الدور بتسليم/استلام أكثر من النسبة المسموح بها مقابل الطلبات,
Using negative stock disables FIFO/Moving average valuation when inventory is negative.,يؤدي استخدام المخزون السالب إلى تعطيل تقييم FIFO/المتوسط المتحرك عندما يكون المخزون سالبًا.,
Utility Expenses,نفقات المرافق,
VAT Accounts,حسابات ضريبة القيمة المضافة,
VAT Amount (AED),مبلغ ضريبة القيمة المضافة (درهم إماراتي),
VAT Audit Report,تقرير تدقيق ضريبة القيمة المضافة,
VAT on Expenses and All Other Inputs,ضريبة القيمة المضافة على المصروفات وجميع المدخلات الأخرى,
VAT on Sales and All Other Outputs,ضريبة القيمة المضافة على المبيعات وجميع المخرجات الأخرى,
Valid From,صالح من تاريخ,
Valid From date not in Fiscal Year {0},تاريخ صالح ليس في السنة المالية {0},
Valid From must be after {0} as last GL Entry against the cost center {1} posted on this date,يجب أن يكون تاريخ الصلاحية من بعد {0} لأن آخر قيد دفتر أستاذ عام مقابل مركز التكلفة {1} تم ترحيله في هذا التاريخ,
Valid Till,صالح حتى,
Valid Up To,صالح حتى,
